pid	toefl	gre	undergra_major	undergra_grade	school	degree	major	apply_result
26	102.0	326.0	Communication engineering	3.6148000000000002	Auburn University	phd	Electrical and Electronics Engineering	ad
27	94.0	317.0	Bioinformatics	3.17	Southern Methodist University	phd	Chemistry	offer
28	105.0	319.0	Pharmacy	3.156	SUNY University at Buffalo	ms	Pharmaceutical Sciences	offer
29	92.0	315.0	Surveying Engineering	3.59	Worcester Polytechnic Institute	phd	Civil Engineering	ad
30	111.0	329.0	Environmental Engineering	3.55	University of California  Berkeley	ms	Environmental Engineering	offer
31	100.0	311.0	City planning	3.8	University of Michigan  Ann Arbor	ms	Urban Design	offer
31	100.0	311.0	City planning	3.8	Washington University in St Louis	ms	Urban Design	ad
31	100.0	311.0	City planning	3.8	University of Texas  Austin	ms	Urban Design	offer
31	100.0	311.0	City planning	3.8	University of Washington	ms	Landscape Architecture I	offer
31	100.0	311.0	City planning	3.8	The Chinese University of Hong Kong	ms	HKUrban DesignMScFT  PT	offer
31	100.0	311.0	City planning	3.8	The University of Hong Kong	ms	HKUrban DesignMUDFT	reject
32	106.0	322.0	Chinese International Education	3.48	Columbia University	ma	Instructional Technology and Media	ad
32	106.0	322.0	Chinese International Education	3.48	University of Pennsylvania	med	Learning Science and Technologies	ad
32	106.0	322.0	Chinese International Education	3.48	Northwestern University	ma	Learning Sciences	reject
32	106.0	322.0	Chinese International Education	3.48	Vanderbilt University	med	Learning and Design	ad
32	106.0	322.0	Chinese International Education	3.48	University of Michigan  Ann Arbor	med	Digital Media	ad
32	106.0	322.0	Chinese International Education	3.48	University of Georgia	med	Instructional Technology and Design	ad
32	106.0	322.0	Chinese International Education	3.48	University of Texas  Austin	ma	Learning Technology	ad
32	106.0	322.0	Chinese International Education	3.48	Indiana University	med	Instructional System Technology	ad
33	105.0	319.0	photoelectric	3.84	Northwestern University	ms	Electrical and Electronics Engineering	ad
34	94.0	306.0	architecture	3.28	Southern California Institute of Architecture	ma	Architecture	ad
34	94.0	306.0	architecture	3.28	Arizona State University	ma	Architecture	ad
34	94.0	306.0	architecture	3.28	Washington University in St Louis	ma	Architecture	reject
35	107.0	330.0	Chemical Engineering and Technology	3.86	University of Pennsylvania	ms	Chemical Engineering	ad
35	107.0	330.0	Chemical Engineering and Technology	3.86	University of Washington	ms	Chemical Engineering	ad
35	107.0	330.0	Chemical Engineering and Technology	3.86	Rice University	meng	Chemical Engineering	ad
35	107.0	330.0	Chemical Engineering and Technology	3.86	Johns Hopkins University	ms	Chemical Engineering	ad
35	107.0	330.0	Chemical Engineering and Technology	3.86	University of Pittsburgh	ms	Chemical Engineering	ad
35	107.0	330.0	Chemical Engineering and Technology	3.86	University of Southern California	ms	Chemical Engineering	ad
35	107.0	330.0	Chemical Engineering and Technology	3.86	Carnegie Mellon University	ms	Chemical Engineering	ad
35	107.0	330.0	Chemical Engineering and Technology	3.86	University of California  Davis	ms	Chemical Engineering	ad
35	107.0	330.0	Chemical Engineering and Technology	3.86	University of Florida	ms	Chemical Engineering	ad
35	107.0	330.0	Chemical Engineering and Technology	3.86	Georgia Institute of Technology	ms	Chemical Engineering	ad
36	108.0	327.0	Cost	3.5	University of California  Los Angeles	march	Architecture	ad
36	108.0	327.0	Cost	3.5	Rice University	march i	Architecture	ad
36	108.0	327.0	Cost	3.5	University of Southern California	march i	Architecture	ad
36	108.0	327.0	Cost	3.5	Harvard University	march i	Architecture	reject
36	108.0	327.0	Cost	3.5	Yale University	march i	Architecture	reject
37	94.0	317.0	Car service engineering	3.47	Northeastern University	ms	Bioengineering and Biomedical Engineering	ad
38	111.0	329.0	international economy and trading	3.6039999999999996	Barcelona Graduate School of Economics	ma	Economics and Econometrics	ad
38	111.0	329.0	international economy and trading	3.6039999999999996	Duke University	ma	Economics and Econometrics	ad
38	111.0	329.0	international economy and trading	3.6039999999999996	CEMFI	ma	Economics and Econometrics	offer
38	111.0	329.0	international economy and trading	3.6039999999999996	University of Wisconsin	ms	Economics and Econometrics	ad
38	111.0	329.0	international economy and trading	3.6039999999999996	Tufts University	ms	Economics and Econometrics	ad
39	102.0	323.0	plant protection	3.47	Ohio State University	phd	Biomedical Sciences and Molecular Medicine	offer
39	102.0	323.0	plant protection	3.47	Columbia University	phd	Neuroscience	reject
39	102.0	323.0	plant protection	3.47	Stanford University	phd	Biochemistry and Molecular Biology	reject
39	102.0	323.0	plant protection	3.47	New York University	phd	Neuroscience	reject
40	104.0	329.0	finance	3.4108	University of Toronto	ma	Political Science	ad
40	104.0	329.0	finance	3.4108	London School of Economics and Political	ma	Economics	ad
40	104.0	329.0	finance	3.4108	Duke University	ma	Economics	reject
42	98.0	316.0	Biological Engineering	2.8	Northeastern University	ms	Bioengineering and Biomedical Engineering	ad
42	98.0	316.0	Biological Engineering	2.8	Stevens Institute of Technology	ms	Bioengineering and Biomedical Engineering	ad
42	98.0	316.0	Biological Engineering	2.8	George Washington University	ms	Bioengineering and Biomedical Engineering	ad
43	95.0	325.0	Electrical Engineering and Automation	3.72	University of Florida	ms	Electrical and Computer Engineering	ad
43	95.0	325.0	Electrical Engineering and Automation	3.72	University of Arizona	phd	Electrical an Computer Engineering	offer
43	95.0	325.0	Electrical Engineering and Automation	3.72	University of Massachusetts  Amherst	ms	Electrical and Computer Engineering	offer
43	95.0	325.0	Electrical Engineering and Automation	3.72	Clemson University	phd	Electrical and Electronics Engineering	reject
44	101.0	324.0	Stat	3.48	University of California  Davis	ms	Statistics	ad
45	98.0	321.0	GIS	3.5	Washington University in St Louis	ms	Data Analytics and Statistics	offer
46	102.0	322.0	economics	3.84	Johns Hopkins University	ms	applied economics	offer
47	100.0	321.0	Pharmaceutical engineering	3.6092	University of Pittsburgh	ms	Biomedical Informatics	ad
49	81.0	309.0	computer science and Technology	3.4	University of Nebraska  Lincoln	ms	Computer Science	ad
49	81.0	309.0	computer science and Technology	3.4	Lawrence Technological University	ms	Computer Science	ad
50	97.0	327.0	economic	3.75	Boston University	ma	Economics and Econometrics	ad
50	97.0	327.0	economic	3.75	Vanderbilt University	ma	Economics	ad
50	97.0	327.0	economic	3.75	Northeastern University	ma	Economics	ad
50	97.0	327.0	economic	3.75	University of Texas  Austin	ma	Economics	ad
50	97.0	327.0	economic	3.75	Columbia University	ma	Economics and Econometrics	ad
50	97.0	327.0	economic	3.75	Duke University	ma	Economics and Econometrics	ad
50	97.0	327.0	economic	3.75	Tufts University	ms	Economics and Econometrics	ad
50	97.0	327.0	economic	3.75	University of Michigan  Ann Arbor	ma	Economics and Econometrics	ad
51	107.0	327.0	Civil engineering	3.5995999999999997	University of Illinois at UrbanaChampaign	msnon thesis	Civil Engineering	ad
51	107.0	327.0	Civil engineering	3.5995999999999997	Carnegie Mellon University	ms	Civil Engineering	ad
51	107.0	327.0	Civil engineering	3.5995999999999997	University of Washington	ms	Civil Engineering	reject
51	107.0	327.0	Civil engineering	3.5995999999999997	University of Texas  Austin	ms	Civil Engineering	reject
51	107.0	327.0	Civil engineering	3.5995999999999997	University of Michigan  Ann Arbor	ms	Civil Engineering	reject
51	107.0	327.0	Civil engineering	3.5995999999999997	University of California  San Diego	ms	Civil Engineering	ad
51	107.0	327.0	Civil engineering	3.5995999999999997	Columbia University	ms	Civil Engineering	ad
52	94.0	317.0	Pharmaceutical Engineering (Chinese and foreign co-organized)	3.58	Emory University	msph	Environmental health epidemiology MSPH	ad
52	94.0	317.0	Pharmaceutical Engineering (Chinese and foreign co-organized)	3.58	University of Southern California	ms	Pharmacology and Toxicology	ad
52	94.0	317.0	Pharmaceutical Engineering (Chinese and foreign co-organized)	3.58	University of Southern California	ms	Biostatistics	ad
52	94.0	317.0	Pharmaceutical Engineering (Chinese and foreign co-organized)	3.58	University of Michigan  Ann Arbor	ms	Toxicology  environmental health Sciences	ad
52	94.0	317.0	Pharmaceutical Engineering (Chinese and foreign co-organized)	3.58	Washington University in St Louis	mph	Master of public health	ad
53	97.0	318.0	Aircraft power	3.52	Georgia Institute of Technology	ms	CSE	ad
54	104.0	317.0	Japanese	3.48	Columbia University	ma	Film and Media Studies	ad
55	107.0	327.0	building	3.32	Columbia University	ma	Architecture	offer
56	104.0	322.0	economic	3.6	CEMFI	ms	Economics and Econometrics	offer
56	104.0	322.0	economic	3.6	University of Wisconsin	ms	Economics and Econometrics	ad
56	104.0	322.0	economic	3.6	Tufts University	ms	Economics and Econometrics	ad
56	104.0	322.0	economic	3.6	University of Michigan  Ann Arbor	ms	Economics and Econometrics	ad
56	104.0	322.0	economic	3.6	Vanderbilt University	ms	Economics and Econometrics	ad
56	104.0	322.0	economic	3.6	University of Texas  Austin	ms	Economics and Econometrics	ad
57	94.0	313.0	statistics	3.48	Boston University	ms	applied biostatistics	reject
57	94.0	313.0	statistics	3.48	University of Michigan  Ann Arbor	ms	biostatistics	reject
57	94.0	313.0	statistics	3.48	Boston University	ms	Biostatistics	ad
57	94.0	313.0	statistics	3.48	Columbia University	ms	biostatistics	reject
57	94.0	313.0	statistics	3.48	Ohio State University	ms	biostatistics	ad
57	94.0	313.0	statistics	3.48	Tufts University	ma	biostatistics	ad
57	94.0	313.0	statistics	3.48	Emory University	ms	Biostatistics	reject
58	96.0	319.0	Fluid mechanics	3.56	Purdue University	ms	Aeronautics and Aviation Technology	offer
58	96.0	319.0	Fluid mechanics	3.56	Rutgers University	ms	Mechanical and Aerospace Engineering	ad
58	96.0	319.0	Fluid mechanics	3.56	Northeastern University	ms	Mechanical Engineering	ad
58	96.0	319.0	Fluid mechanics	3.56	University of Michigan  Ann Arbor	ms	Mechanical Engineering	reject
58	96.0	319.0	Fluid mechanics	3.56	Carnegie Mellon University	ms	Mechanical Engineering	reject
58	96.0	319.0	Fluid mechanics	3.56	University of California  Los Angeles	ms	Mechanical and Aerospace Engineering	reject
58	96.0	319.0	Fluid mechanics	3.56	Case Western Reserve University	ms	Mechanical and Aerospace Engineering	ad
58	96.0	319.0	Fluid mechanics	3.56	Columbia University	ms	Mechanical Engineering	reject
58	96.0	319.0	Fluid mechanics	3.56	Texas AM University	ms	Mechanical Engineering	ad
59	108.0	323.0	Art History	3.4	Columbia University	ma	arts administration	ad
59	108.0	323.0	Art History	3.4	New York University	ma	visual arts administration	ad
59	108.0	323.0	Art History	3.4	Carnegie Mellon University	ma	Fine and Studio Arts Management	ad
59	108.0	323.0	Art History	3.4	School of the Art Institute of Chicago	ma	arts administration and policy	ad
59	108.0	323.0	Art History	3.4	University of Southern California	ma	curatorial practices and the public sphere	ad
60	97.0	320.0	EE	3.2	Marquette University	phd	Electrical and Electronics Engineering	offer
61	95.0	323.0	computer science and Technology	2.97	Stevens Institute of Technology	ms	Information and Data Engineering	offer
62	98.0	323.0	Information engineering	3.32	University of Florida	ms	Electrical and Computer Engineering	ad
63	93.0	315.0	Town and Country Planning	3.8	University of Washington	mup	Urban Community and Regional Planning	ad
64	99.0	324.0	Pharmacy Science Base	3.67	University of Georgia	phd	ILS	offer
64	99.0	324.0	Pharmacy Science Base	3.67	University of Florida	phd	Chemistry	offer
64	99.0	324.0	Pharmacy Science Base	3.67	University of Wisconsin	phd	Chemistry	reject
64	99.0	324.0	Pharmacy Science Base	3.67	University of North Carolina at Chapel Hill	phd	Pharmaceutical Sciences	reject
64	99.0	324.0	Pharmacy Science Base	3.67	Virginia Commonwealth University	phd	Biomedical Sciences and Molecular Medicine	reject
65	103.0	320.0	Chemical Engineering and Technology	3.7168	University of Delaware	phd	Chemical Engineering	reject
65	103.0	320.0	Chemical Engineering and Technology	3.7168	University of Pennsylvania	ms	Chemical Engineering	ad
65	103.0	320.0	Chemical Engineering and Technology	3.7168	Texas AM University	phd	Chemical Engineering	offer
65	103.0	320.0	Chemical Engineering and Technology	3.7168	Eidgenossische Technische Hochschule Zrich	ms	Chemical Engineering	reject
65	103.0	320.0	Chemical Engineering and Technology	3.7168	University of Massachusetts  Amherst	phd	Chemical Engineering	offer
65	103.0	320.0	Chemical Engineering and Technology	3.7168	University of Colorado  Boulder	phd	Chemical Engineering	offer
65	103.0	320.0	Chemical Engineering and Technology	3.7168	SUNY University at Buffalo	phd	Chemical Engineering	offer
65	103.0	320.0	Chemical Engineering and Technology	3.7168	University of Houston	phd	Chemical Engineering	offer
65	103.0	320.0	Chemical Engineering and Technology	3.7168	Rutgers University	phd	Chemical Engineering	offer
65	103.0	320.0	Chemical Engineering and Technology	3.7168	Duke University	phd	Chemistry	reject
65	103.0	320.0	Chemical Engineering and Technology	3.7168	cole Polytechnique Fdrale de Lausanne	phd	Material Science and Engineering	reject
65	103.0	320.0	Chemical Engineering and Technology	3.7168	Ohio State University	phd	Chemical Engineering	reject
65	103.0	320.0	Chemical Engineering and Technology	3.7168	Iowa State University	phd	Chemical Engineering	reject
65	103.0	320.0	Chemical Engineering and Technology	3.7168	University of Michigan  Ann Arbor	phd	Chemical Engineering	offer
65	103.0	320.0	Chemical Engineering and Technology	3.7168	University of Illinois at UrbanaChampaign	phd	Chemical Engineering	reject
65	103.0	320.0	Chemical Engineering and Technology	3.7168	Colorado School of Mines	phd	Metallurgical and Materials Engineering	reject
65	103.0	320.0	Chemical Engineering and Technology	3.7168	The Pennsylvania State University	phd	Chemical Engineering	reject
65	103.0	320.0	Chemical Engineering and Technology	3.7168	University of Pittsburgh	phd	Chemical Engineering	reject
66	102.0	324.0	electric	3.53	University of Southern California	ms	Electrical and Electronics Engineering	ad
66	102.0	324.0	electric	3.53	Washington University in St Louis	ms	Electrical and Electronics Engineering	ad
66	102.0	324.0	electric	3.53	Northeastern University	ms	Electrical and Electronics Engineering	ad
67	99.0	318.0	English	3.73	University of Florida	med	Bilingual and Multicultural Education	ad
69	112.0	332.0	English literature	3.78	Duke University	ma	Economics and Econometrics	ad
70	101.0	319.0	architecture	3.41	Rhode Island School of Design	ma	Architecture	offer
71	104.0	319.0	Radio and television director	3.7	Rutgers University	ma	MCM	ad
71	104.0	319.0	Radio and television director	3.7	University of California  Davis	ma	Communication	ad
71	104.0	319.0	Radio and television director	3.7	University of Minnesota  Twin Cities	ma	Mass Communication	reject
71	104.0	319.0	Radio and television director	3.7	Syracuse University	ma	Media Studies	ad
71	104.0	319.0	Radio and television director	3.7	University of Oklahoma	ma	Communication	ad
71	104.0	319.0	Radio and television director	3.7	Marquette University	ma	Mass Communication	offer
71	104.0	319.0	Radio and television director	3.7	The Pennsylvania State University	ma	Communication and Media Studies	reject
71	104.0	319.0	Radio and television director	3.7	Clemson University	ma	communication technology and society	ad
71	104.0	319.0	Radio and television director	3.7	University of Arizona	ma	Communication and Media Studies	offer
72	110.0	331.0	Clinical medicine	3.54	Emory University	msph	Epidemiology	ad
72	110.0	331.0	Clinical medicine	3.54	University of Pittsburgh	ms	Epidemiology	ad
72	110.0	331.0	Clinical medicine	3.54	Johns Hopkins University	mhs	Epidemiology	ad
72	110.0	331.0	Clinical medicine	3.54	Columbia University	ms	Epidemiology	ad
72	110.0	331.0	Clinical medicine	3.54	George Washington University	mph	Epidemiology	ad
72	110.0	331.0	Clinical medicine	3.54	University of Washington	mph	Epidemiology	ad
72	110.0	331.0	Clinical medicine	3.54	University of Minnesota  Twin Cities	mph	Epidemiology	ad
72	110.0	331.0	Clinical medicine	3.54	Boston University	mph	Epidemiology	ad
72	110.0	331.0	Clinical medicine	3.54	Rutgers University	ms	biostatistics	ad
73	104.0	322.0	National studies	3.74	University of Oregon	ma	East Asian Languages and Literatures	offer
73	104.0	322.0	National studies	3.74	University of Oregon	ma	East Asian Languages and Literatures	offer
74	106.0	320.0	Anglo-American language and culture	2.8	New York University	ma	Education and Social Policy	offer
75	106.0	330.0	Geography	3.65	University of Chicago	ma	MACSS	ad
75	106.0	330.0	Geography	3.65	Cornell University	ma	Regional Science	ad
75	106.0	330.0	Geography	3.65	University of Illinois at UrbanaChampaign	mup	Urban Planning	ad
75	106.0	330.0	Geography	3.65	Georgia Institute of Technology	mcrp	City and Regional Planning	ad
75	106.0	330.0	Geography	3.65	University of California  Los Angeles	mup	Urban Community and Regional Planning	ad
76	107.0	322.0	English literature	3.54	Arizona State University	phd	Psychology Cognitive Science	offer
77	106.0	327.0	Food science and engineering	3.7	University of Washington	ms	Chemical Engineering	ad
77	106.0	327.0	Food science and engineering	3.7	University of California  San Diego	ms	Chemical Engineering	ad
78	98.0	322.0	biomedical engineering	3.4	Northeastern University	ms	Bioengineering and Biomedical Engineering	ad
79	109.0	322.0	Mathematics and Applied Mathematics	3.7239999999999998	University of Texas  Austin	phd	Mathematics	offer
79	109.0	322.0	Mathematics and Applied Mathematics	3.7239999999999998	Georgia Institute of Technology	phd	Mathematics	offer
79	109.0	322.0	Mathematics and Applied Mathematics	3.7239999999999998	The Pennsylvania State University	phd	Mathematics	offer
79	109.0	322.0	Mathematics and Applied Mathematics	3.7239999999999998	Massachusetts Institute of Technology	phd	Mathematics	reject
79	109.0	322.0	Mathematics and Applied Mathematics	3.7239999999999998	Harvard University	phd	Mathematics	reject
79	109.0	322.0	Mathematics and Applied Mathematics	3.7239999999999998	Princeton University	phd	Mathematics	reject
79	109.0	322.0	Mathematics and Applied Mathematics	3.7239999999999998	Stanford University	phd	Mathematics	reject
79	109.0	322.0	Mathematics and Applied Mathematics	3.7239999999999998	University of California  Berkeley	phd	Mathematics	reject
79	109.0	322.0	Mathematics and Applied Mathematics	3.7239999999999998	Columbia University	phd	Mathematics	reject
79	109.0	322.0	Mathematics and Applied Mathematics	3.7239999999999998	Brown University	phd	Mathematics	reject
79	109.0	322.0	Mathematics and Applied Mathematics	3.7239999999999998	New York University	phd	Mathematics	reject
79	109.0	322.0	Mathematics and Applied Mathematics	3.7239999999999998	University of California  Irvine	phd	Mathematics	reject
80	106.0	325.0	Mechatronic Engineering	3.84	The Pennsylvania State University	phd	Mechanical Engineering	offer
81	99.0	322.0	mathematics	3.48	University of Minnesota  Twin Cities	ms	Statistics	ad
81	99.0	322.0	mathematics	3.48	Columbia University	ma	Statistics	ad
81	99.0	322.0	mathematics	3.48	Miami University	ms	Statistics	ad
82	110.0	330.0	Food engineering	3.87	University of Michigan  Ann Arbor	phd	Ecology and Evolutionary Biology	offer
82	110.0	330.0	Food engineering	3.87	Boston University	phd	Bioengineering and Biomedical Engineering	offer
82	110.0	330.0	Food engineering	3.87	University of California  Berkeley	phd	Bioengineering and Biomedical Engineering	reject
82	110.0	330.0	Food engineering	3.87	Princeton University	phd	Chemical Engineering	reject
82	110.0	330.0	Food engineering	3.87	Stanford University	phd	Bioengineering and Biomedical Engineering	reject
82	110.0	330.0	Food engineering	3.87	Columbia University	phd	Biomedical Sciences and Molecular Medicine	reject
82	110.0	330.0	Food engineering	3.87	Massachusetts Institute of Technology	phd	Chemical Engineering	reject
82	110.0	330.0	Food engineering	3.87	University of California  San Diego	phd	Bioengineering and Biomedical Engineering	reject
82	110.0	330.0	Food engineering	3.87	University of Texas  Austin	phd	Chemical Engineering	reject
82	110.0	330.0	Food engineering	3.87	Washington University in St Louis	phd	Chemical Engineering	offer
83	107.0	326.0	Materials Science and Engineering	3.8	Stanford University	ms	Materials Science	ad
83	107.0	326.0	Materials Science and Engineering	3.8	Cornell University	ms	Materials Science	ad
83	107.0	326.0	Materials Science and Engineering	3.8	University of Pennsylvania	ms	chemical sciences	ad
83	107.0	326.0	Materials Science and Engineering	3.8	University of Washington	phd	Chemistry	reject
83	107.0	326.0	Materials Science and Engineering	3.8	University of California  Los Angeles	ms	Materials Science	ad
84	104.0	325.0	building	3.62	Harvard University	ma	MAUD	ad
84	104.0	325.0	building	3.62	Washington University in St Louis	ma	Architecture	offer
84	104.0	325.0	building	3.62	Yale University	ma	Architecture	reject
84	104.0	325.0	building	3.62	Cornell University	ma	MSAAD	reject
84	104.0	325.0	building	3.62	University of Southern California	ma	Architecture	offer
84	104.0	325.0	building	3.62	Princeton University	ma	Architecture	reject
85	107.0	328.0	civil Engineering	3.56	Delft University of Technology	ms	Civil Engineering	offer
85	107.0	328.0	civil Engineering	3.56	Purdue University	ms	Civil Engineering	ad
85	107.0	328.0	civil Engineering	3.56	Northwestern University	ms	Civil Engineering	ad
85	107.0	328.0	civil Engineering	3.56	Virginia Tech	ms	Civil Engineering	ad
86	103.0	324.0	Chinese language and literature	3.93	Pepperdine University	ma	NonProfit and Public Management	ad
86	103.0	324.0	Chinese language and literature	3.93	University of Miami	ma	Public Administration	ad
87	107.0	320.0	philosophy	3.532	Rensselaer Polytechnic Institute	ms	Computer and Information Studies	reject
87	107.0	320.0	philosophy	3.532	Clark University	ms	Information Technology	ad
87	107.0	320.0	philosophy	3.532	Rochester Institute of Technology	ms	Computer and Information Studies	ad
87	107.0	320.0	philosophy	3.532	Worcester Polytechnic Institute	ms	Information Technology	ad
87	107.0	320.0	philosophy	3.532	Syracuse University	ms	Management Information Systems	ad
88	101.0	320.0	EE	2.0	Columbia University	ms	Electrical and Electronics Engineering	ad
89	104.0	318.0	GIS	3.51	University of Southern California	phd	GIS	offer
